season,date,home_team,away_team,y,m4_p_away,m4_p_draw,m4_p_home,ps_open_home,ps_open_draw,ps_open_away,ps_close_home,ps_close_draw,ps_close_away
2425,2024-12-20,Bayern Munich,RB Leipzig,2,0.21546780798643514,0.21329616720883818,0.5712360248047267,1.21,7.48,13.15,1.22,7.36,12.59
2425,2024-12-21,Ein Frankfurt,Mainz,0,0.34444191183370904,0.15223409817867584,0.5033239899876152,1.85,4.02,4.05,2.1,3.6,3.63
2425,2024-12-21,Hoffenheim,M'gladbach,0,0.35241890829078654,0.24587166451817524,0.40170942719103836,2.4,3.66,2.91,2.3,3.63,3.14
2425,2024-12-21,Kiel,Augsburg,2,0.2950652687313899,0.23074461903117646,0.4741901122374336,3.17,3.25,2.44,3.59,3.36,2.21
2425,2024-12-21,Leverkusen,Freiburg,2,0.1621328254895609,0.19380796772383901,0.6440592067866001,1.37,5.33,8.23,1.39,5.32,8.17
2425,2024-12-21,Stuttgart,St Pauli,0,0.10183237057839407,0.20589692106535826,0.6922707083562477,1.47,4.73,6.93,1.46,4.77,7.33
2425,2024-12-21,Werder Bremen,Union Berlin,2,0.20109300342531122,0.24524770889760864,0.5536592876770802,2.11,3.38,3.78,2.33,3.25,3.43
2425,2024-12-22,Bochum,Heidenheim,2,0.22073522859825315,0.3558023060409758,0.42346246536077103,2.35,3.55,3.07,2.11,3.47,3.74
2425,2024-12-22,Wolfsburg,Dortmund,0,0.35585952480566446,0.27137056041561464,0.37276991477872096,3.09,3.65,2.29,3.35,3.76,2.15
2425,2025-01-10,Dortmund,Leverkusen,0,0.42702685167666565,0.12805559795060403,0.44491755037273023,2.92,3.6,2.43,3.88,3.82,1.96
2425,2025-01-11,Freiburg,Kiel,2,0.18001318268802274,0.21543771642281528,0.604549100889162,1.4,5.21,7.67,1.46,5.04,6.73
2425,2025-01-11,Heidenheim,Union Berlin,2,0.3734080922395801,0.19498002876411435,0.43161187899630554,3.24,3.29,2.38,3.25,3.46,2.32
2425,2025-01-11,Hoffenheim,Wolfsburg,0,0.3256100679361393,0.25845697270119905,0.4159329593626617,2.44,3.45,3.0,2.36,3.48,3.15
2425,2025-01-11,M'gladbach,Bayern Munich,0,0.5987277508767095,0.20105437663637246,0.20021787248691808,7.2,5.47,1.4,8.68,5.86,1.34
2425,2025-01-11,Mainz,Bochum,2,0.13605910880816108,0.2638426257486913,0.6000982654431476,1.57,4.38,5.81,1.68,3.97,5.47
2425,2025-01-11,St Pauli,Ein Frankfurt,0,0.5100358011544541,0.1836311783277617,0.3063330205177842,3.8,3.4,2.1,3.58,3.43,2.18
2425,2025-01-12,Augsburg,Stuttgart,0,0.5782041382361722,0.20799817336331244,0.21379768840051525,3.76,3.71,2.0,4.15,3.69,1.93
2425,2025-01-12,RB Leipzig,Werder Bremen,2,0.14699897799775352,0.1343799558929045,0.7186210661093421,1.76,4.18,4.34,1.91,3.85,4.06
2425,2025-01-14,Ein Frankfurt,Freiburg,2,0.19676992441653635,0.2699228016764389,0.5333072739070247,1.72,4.19,4.77,1.7,4.13,5.03
2425,2025-01-14,Kiel,Dortmund,2,0.6043861852946814,0.18913456508548462,0.20647924961983405,5.52,4.77,1.56,6.9,4.8,1.48
2425,2025-01-14,Leverkusen,Mainz,2,0.16734504042370815,0.17123531487909,0.6614196446972019,1.38,5.26,8.51,1.37,5.25,8.81
2425,2025-01-14,Wolfsburg,M'gladbach,2,0.19977901583372706,0.31328407231493377,0.4869369118513393,1.95,3.86,3.87,1.9,3.81,4.14
2425,2025-01-15,Bayern Munich,Hoffenheim,2,0.0943135304060861,0.167709937564003,0.737976532029911,1.12,11.23,17.9,1.1,11.74,25.84
2425,2025-01-15,Bochum,St Pauli,2,0.20960363984126695,0.317271991175108,0.473124368983625,2.64,3.28,2.87,2.56,3.26,3.03
2425,2025-01-15,Stuttgart,RB Leipzig,2,0.28912090023232656,0.2863669497007892,0.4245121500668843,2.01,3.81,3.63,2.01,3.88,3.64
2425,2025-01-15,Union Berlin,Augsburg,0,0.21714589319917907,0.25744746589391476,0.5254066409069063,1.84,3.56,4.74,2.2,3.33,3.65
2425,2025-01-15,Werder Bremen,Heidenheim,1,0.1403261208842736,0.2817150081706283,0.5779588709450981,1.64,4.42,4.97,1.76,4.08,4.58
2425,2025-01-17,Ein Frankfurt,Dortmund,2,0.3596079689568598,0.2593626621014593,0.3810293689416808,2.61,3.64,2.71,2.89,3.58,2.49
2425,2025-01-18,Bayern Munich,Wolfsburg,2,0.10105441467164897,0.13629401907037253,0.7626515662579785,1.17,8.66,14.14,1.14,9.0,21.0
2425,2025-01-18,Bochum,RB Leipzig,1,0.5843358207867528,0.12891742014453653,0.2867467590687107,3.71,3.75,2.01,3.39,3.51,2.23
