model,threshold,signal_count,unique_matches,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M5_market_preclose,0.02,115,115,-0.0831304347826087,-0.5415847826086957,0.4301217391304345,9.974782608695651,0.0453318481937532,0.05934761603375355,0.04910915545256736,37.19,0.12854075880331306,0.11304347826086956,0.015497280542443495,0.16521739130434782,0.10434782608695652,0.7304347826086957
M5_market_preclose,0.03,75,75,-0.28613333333333335,-0.7970666666666666,0.36856666666666665,11.413733333333333,0.05664975954232011,0.07753838264523527,0.06256225733149985,26.0,0.11381380854733332,0.08,0.03381380854733332,0.14666666666666667,0.12,0.7333333333333333
M5_market_preclose,0.04,52,52,-0.4053846153846154,-1.0,0.39480769230769214,12.950576923076925,0.0659776336662048,0.10334523693512385,0.08862979923909989,21.98,0.09921399339038461,0.057692307692307696,0.04152168569807692,0.17307692307692307,0.11538461538461539,0.7115384615384616
M5_market_preclose,0.05,32,32,-0.23531250000000004,-1.0,1.0299999999999998,15.039375,0.07923816198346902,0.10796462455079993,0.07818675923536636,13.0,0.08360730957196874,0.0625,0.02110730957196874,0.1875,0.15625,0.65625
M5_market_preclose,0.06,23,23,0.06391304347826082,-1.0,1.8243478260869563,16.864782608695656,0.0887354489467421,0.13384126970566154,0.09300552729646108,9.0,0.07289795709186955,0.08695652173913043,0.01405856464726088,0.17391304347826086,0.17391304347826086,0.6521739130434783
M5_market_preclose,0.07,16,16,0.0012499999999999734,-1.0,2.00375,18.68125,0.09904089715230681,0.14796524556521173,0.1052131967645338,8.0,0.0643718420785,0.0625,0.0018718420784999967,0.125,0.1875,0.6875
M5_market_preclose,0.08,12,12,0.33499999999999996,-1.0,3.0050000000000003,20.236666666666665,0.10790432372089159,0.1725577794317162,0.11270613245733392,6.0,0.059322158141916666,0.08333333333333333,0.024011175191416663,0.0,0.25,0.75
M5_market_preclose,0.1,4,4,-1.0,-1.0,-1.0,27.5325,0.14173373010511248,0.08540283560806514,-0.0032161868965584484,3.0,0.0430699614635,0.0,0.0430699614635,0.0,0.0,1.0
M6_market_elo_blend,0.02,115,115,-0.0831304347826087,-0.5415847826086957,0.4301217391304345,9.974782608695651,0.0453318481937532,0.05934761603375355,0.04910915545256736,37.19,0.12854075880331306,0.11304347826086956,0.015497280542443495,0.16521739130434782,0.10434782608695652,0.7304347826086957
M6_market_elo_blend,0.03,75,75,-0.28613333333333335,-0.7970666666666666,0.36856666666666665,11.413733333333333,0.05664975954232011,0.07753838264523527,0.06256225733149985,26.0,0.11381380854733332,0.08,0.03381380854733332,0.14666666666666667,0.12,0.7333333333333333
M6_market_elo_blend,0.04,52,52,-0.4053846153846154,-1.0,0.39480769230769214,12.950576923076925,0.0659776336662048,0.10334523693512385,0.08862979923909989,21.98,0.09921399339038461,0.057692307692307696,0.04152168569807692,0.17307692307692307,0.11538461538461539,0.7115384615384616
M6_market_elo_blend,0.05,32,32,-0.23531250000000004,-1.0,1.0299999999999998,15.039375,0.07923816198346902,0.10796462455079993,0.07818675923536636,13.0,0.08360730957196874,0.0625,0.02110730957196874,0.1875,0.15625,0.65625
M6_market_elo_blend,0.06,23,23,0.06391304347826082,-1.0,1.8243478260869563,16.864782608695656,0.0887354489467421,0.13384126970566154,0.09300552729646108,9.0,0.07289795709186955,0.08695652173913043,0.01405856464726088,0.17391304347826086,0.17391304347826086,0.6521739130434783
M6_market_elo_blend,0.07,16,16,0.0012499999999999734,-1.0,2.00375,18.68125,0.09904089715230681,0.14796524556521173,0.1052131967645338,8.0,0.0643718420785,0.0625,0.0018718420784999967,0.125,0.1875,0.6875
M6_market_elo_blend,0.08,12,12,0.33499999999999996,-1.0,3.0050000000000003,20.236666666666665,0.10790432372089159,0.1725577794317162,0.11270613245733392,6.0,0.059322158141916666,0.08333333333333333,0.024011175191416663,0.0,0.25,0.75
M6_market_elo_blend,0.1,4,4,-1.0,-1.0,-1.0,27.5325,0.14173373010511248,0.08540283560806514,-0.0032161868965584484,3.0,0.0430699614635,0.0,0.0430699614635,0.0,0.0,1.0
M7_market_residual,0.02,1196,1196,-0.01172240802675585,-0.1176323160535117,0.09810451505016721,4.87876254180602,0.5421602243807155,-0.0191714346671823,-0.0016946568138608334,70.0,0.3938624710713896,0.2717391304347826,0.12212334063660701,0.23662207357859533,0.20986622073578595,0.5535117056856187
M7_market_residual,0.03,1188,1188,-0.00962121212121212,-0.11886026936026937,0.1035345117845118,4.894722222222223,0.5456503536877783,-0.019176314676803446,-0.0017462132457252372,68.16999999999999,0.39347997971397725,0.27104377104377103,0.12243620867020621,0.2356902356902357,0.21043771043771045,0.5538720538720538
M7_market_residual,0.04,1179,1179,-0.013155216284987288,-0.1253742578456319,0.1062994062765055,4.907294317217981,0.549545575422161,-0.019146034138921207,-0.0017440677701564204,70.38,0.39322561225807806,0.268871925360475,0.12435368689760307,0.2357930449533503,0.21119592875318066,0.553011026293469
M7_market_residual,0.05,1166,1166,-0.009176672384219556,-0.12030295883361924,0.09947898799313892,4.926946826758147,0.5551582501278548,-0.019091830425966985,-0.0017652581450571846,66.57,0.3933275563176252,0.2684391080617496,0.12488844825587564,0.2332761578044597,0.2118353344768439,0.5548885077186964
M7_market_residual,0.06,1155,1155,-0.007844155844155846,-0.1275320346320346,0.12495822510822507,4.940883116883116,0.5599142477751714,-0.019176518308189717,-0.0019947454972640095,67.93,0.3935369804432762,0.2683982683982684,0.12513871204500776,0.2329004329004329,0.20865800865800865,0.5584415584415584
M7_market_residual,0.07,1142,1142,-0.011716287215411542,-0.14058756567425568,0.11041812609457091,4.961059544658493,0.5655487971345815,-0.019340291197040855,-0.0022592264077325223,68.17999999999999,0.39332679318617775,0.26532399299474607,0.12800280019143168,0.23380035026269702,0.20490367775831875,0.5612959719789843
M7_market_residual,0.08,1122,1122,-0.018992869875222806,-0.13082085561497328,0.09533511586452763,4.995713012477719,0.5742600678857956,-0.01915447662469963,-0.0023461800062408817,73.11999999999999,0.3933601871257478,0.2611408199643494,0.13221936716139837,0.23529411764705882,0.20053475935828877,0.5641711229946524
M7_market_residual,0.1,1085,1085,-0.011124423963133628,-0.12242811059907835,0.11410138248847923,5.043078341013825,0.5907549989389298,-0.01928786693480966,-0.0028160132063840336,62.38999999999999,0.3933989279880774,0.2608294930875576,0.1325694349005198,0.22857142857142856,0.20276497695852536,0.5686635944700461
