model,class,fav_side,n,roi,closing_price_edge,avg_odds,avg_edge,avg_p_model,realised_rate,calib_gap
M3_LGBM_uncal,draw,season_2021,109,0.3134862385321101,-0.017274945834145704,4.191834862385321,0.30480234263422906,0.3188432472397928,0.3302752293577982,0.01143198211800539
M3_LGBM_uncal,draw,season_2122,81,0.15506172839506174,-0.01850413666712406,3.846172839506173,0.28467700322309525,0.33616077877059264,0.2962962962962963,0.03986448247429636
M3_LGBM_uncal,draw,season_2223,87,0.12402298850574714,-0.010332391940410475,3.9234482758620692,0.25649117121128745,0.32473049338051263,0.28735632183908044,0.03737417154143219
M3_LGBM_uncal,draw,season_2324,45,0.6897777777777777,0.008284316183855406,4.9304444444444435,0.33503237703447447,0.2980304889811707,0.4222222222222222,0.12419173324105154
M3_LGBM_uncal,home,season_2021,139,0.28302158273381295,-0.01470877924135354,4.346330935251799,0.5691543995357867,0.42228704851030163,0.34532374100719426,0.07696330750310737
M3_LGBM_uncal,home,season_2122,100,0.2939,0.0013995134430144795,4.604,0.534980903293098,0.3938539483305306,0.32,0.0738539483305306
M3_LGBM_uncal,home,season_2223,89,0.38820224719101126,-0.02066250730484355,3.9024719101123595,0.42042870071874083,0.4263890300302499,0.449438202247191,0.023049172216941083
M3_LGBM_uncal,home,season_2324,110,-0.14072727272727273,-0.033556887926515594,4.0240909090909085,0.38640603949696695,0.42380892410960547,0.2818181818181818,0.14199074229142367
M2_Elo_Platt,away,promoted_False,412,-0.1642718446601942,-0.017445728329755897,6.120509708737864,0.3791111224058286,0.282500884681039,0.1941747572815534,0.08832612739948562
M2_Elo_Platt,away,promoted_True,122,-0.12073770491803276,-0.03662280126744662,6.398934426229507,0.4859015445640485,0.30863324602175335,0.22950819672131148,0.07912504930044187
M2_Elo_Platt,draw,promoted_False,65,0.03892307692307694,-0.0024286080339549045,5.19153846153846,0.22325619697297688,0.24360008413520268,0.2,0.043600084135202666
M2_Elo_Platt,draw,promoted_True,11,-0.00454545454545461,0.04492081222842443,8.08,0.7688505384020053,0.23012851895650718,0.18181818181818182,0.04831033713832536
M2_Elo_Platt,home,promoted_False,332,0.20816265060240963,-0.014683630587496981,4.156837349397591,0.2514651304575553,0.3689627117351648,0.3192771084337349,0.049685603301429904
M2_Elo_Platt,home,promoted_True,95,0.022210526315789427,-0.022446542541739542,4.596631578947369,0.3549865741136059,0.3816315126002563,0.30526315789473685,0.07636835470551945
M3_LGBM_uncal,away,promoted_False,312,-0.19192307692307692,-0.027418925556552922,6.430160256410256,0.5337777171143312,0.31215471524560445,0.1794871794871795,0.13266753575842496
M3_LGBM_uncal,away,promoted_True,95,-0.1942105263157895,-0.034232716389022325,7.755578947368419,0.6697817798810684,0.2768224255349607,0.17894736842105263,0.09787505711390809
M3_LGBM_uncal,draw,promoted_False,287,0.33156794425087105,-0.013314035498412747,4.080592334494773,0.2901250528753065,0.32471741556905487,0.33797909407665505,0.013261678507600183
M3_LGBM_uncal,draw,promoted_True,35,-0.18857142857142856,-0.002479995670191142,4.586571428571427,0.2973597512834881,0.2986275339855414,0.2,0.09862753398554142
M3_LGBM_uncal,home,promoted_False,312,0.3245192307692308,-0.016348567385975843,4.212756410256411,0.43253015812763734,0.40838090873201344,0.375,0.03338090873201344
M3_LGBM_uncal,home,promoted_True,126,-0.10674603174603178,-0.018524101332301753,4.2867460317460315,0.6157457241079018,0.438381399812267,0.2698412698412698,0.16854012997099715
