model,method,policy,threshold,signal_count,unique_matches,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,model_vs_close,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M2_Elo,platt,all,0.08,1142,871,-0.0471278458844133,-0.1737623237690181,0.07877293039858313,6.012994746059545,0.3945655410019836,-0.01895152787874602,-0.007681793314855261,0.43203430252658265,69.89,0.2852737476279415,0.20665499124343256,0.07861875638450894,0.31436077057793343,0.2565674255691769,0.4290718038528897
M2_Elo,platt,all,0.1,1074,816,-0.04210428305400372,-0.16892907118948178,0.08323321891063055,6.165037243947858,0.41385645857304953,-0.01823383715108655,-0.007287000099778536,0.4511119149087104,64.41999999999999,0.28113947931943056,0.2011173184357542,0.08002216088367636,0.313780260707635,0.2579143389199255,0.42830540037243947
M2_Elo,platt,one_per,0.02,1133,1133,-0.017934686672550743,-0.13442365401588705,0.1120178729037952,5.155481023830538,0.31644049111472394,-0.01828199153148297,-0.00540213132019499,0.34985181231864,60.349999999999994,0.3241584955606946,0.25419240953221534,0.06996608602847926,0.4077669902912621,0.08120035304501325,0.5110326566637247
M2_Elo,platt,one_per,0.03,1085,1085,-0.020248847926267285,-0.1459285714285714,0.11542649769585252,5.246691244239631,0.3293202143666569,-0.01857556178326693,-0.006216350523132702,0.36323193221059397,62.379999999999995,0.3218820652855288,0.2488479262672811,0.0730341390182477,0.40921658986175113,0.07649769585253456,0.5142857142857142
M2_Elo,platt,one_per,0.04,1037,1037,-0.008399228543876562,-0.13812246865959502,0.1341728543876567,5.347540983606557,0.34296328586922065,-0.01767284407974597,-0.005707960228126078,0.3763926787495775,60.8,0.3193439283256035,0.24879459980713597,0.07054932851846751,0.4117647058823529,0.07328833172613308,0.5149469623915139
M2_Elo,platt,one_per,0.05,992,992,-0.002993951612903232,-0.14246471774193548,0.1283465221774193,5.446854838709677,0.3564782777691984,-0.01694904139276115,-0.005357295514937892,0.38961622167382803,65.42,0.31684657516635184,0.24596774193548387,0.07087883323086797,0.4092741935483871,0.06854838709677419,0.5221774193548387
M2_Elo,platt,one_per,0.06,957,957,0.014639498432601894,-0.12014184952978058,0.16359691745036573,5.529937304075235,0.3675185309444674,-0.016352717130860325,-0.005045274548920198,0.40032980215213665,58.14,0.3149738136934984,0.2476489028213166,0.06732491087218181,0.4117032392894462,0.06269592476489028,0.5256008359456635
M2_Elo,platt,one_per,0.07,904,904,-0.004214601769911507,-0.14183517699115045,0.15657107300884957,5.6687057522123885,0.3852147778878682,-0.016681401983206858,-0.006118962616235396,0.4189188895480721,58.169999999999995,0.311250484852933,0.23672566371681417,0.07452482113611883,0.41150442477876104,0.05420353982300885,0.5342920353982301
M2_Elo,platt,one_per,0.08,871,871,-0.010711825487944885,-0.15816044776119403,0.14945981630309985,5.779184845005741,0.39698121173021095,-0.016265961958065955,-0.006127851957767459,0.4305947810284288,54.290000000000006,0.3070378186542203,0.22732491389207807,0.07971290476214224,0.41102181400688864,0.05510907003444317,0.5338691159586682
M2_Elo,platt,one_per,0.1,816,816,0.0008333333333333439,-0.15233088235294118,0.1630818014705882,5.95,0.41767019274275285,-0.014962802642811577,-0.005262133996511725,0.4503529705379566,49.120000000000005,0.3020873924550959,0.22181372549019607,0.08027366696489985,0.4117647058823529,0.051470588235294115,0.5367647058823529
M2_Elo,isotonic,all,0.02,1425,1123,-0.05894736842105265,-0.14676992801194289,0.030591452220321984,4.335564912280702,0.20915586283476562,-0.026121458825098975,-0.008938758193681492,0.2494399996883453,118.80000000000007,0.3594228511563033,0.28210526315789475,0.07731758799840854,0.3087719298245614,0.32842105263157895,0.36280701754385963
M2_Elo,isotonic,all,0.03,1370,1098,-0.056620437956204375,-0.1423075267037372,0.03237466033725078,4.380992700729927,0.2165336608114444,-0.02638978900477858,-0.009541929433418852,0.2574677124147488,113.66000000000005,0.3575684385643401,0.28102189781021897,0.07654654075412115,0.3051094890510949,0.32554744525547447,0.36934306569343067
M2_Elo,isotonic,all,0.04,1314,1065,-0.060882800608828,-0.15410231103202515,0.029852833280344323,4.421598173515982,0.22427545589932937,-0.026488325358095057,-0.00983182747479025,0.2656811709020339,114.63000000000004,0.35674535952685854,0.2770167427701674,0.07972861675669113,0.3059360730593607,0.3287671232876712,0.365296803652968
