cut,value,n,roi,closing_price_edge,avg_odds,avg_edge,calib_gap,model,method
class,away,641,-0.14118564742589707,-0.03024228228387598,4.740561622464898,0.574251478228102,0.16289839355788815,M3_LGBM_dmwd,isotonic
odds_bucket,6.0+,223,0.09156950672645738,-0.008073924147467907,9.912017937219732,1.0322766610317589,0.10298914745026803,M3_LGBM_dmwd,isotonic
odds_bucket,1.0-2.0,145,-0.008689655172413806,-0.04265052327325233,1.716896551724138,0.2248905700399935,0.134755210907317,M3_LGBM_dmwd,isotonic
odds_bucket,2.0-3.5,359,-0.1242618384401114,-0.035148365939963205,2.8511699164345403,0.2890047767161128,0.1517059429408838,M3_LGBM_dmwd,isotonic
odds_bucket,3.5-6.0,443,0.030428893905191882,-0.02067375922724945,4.311015801354402,0.461495672397894,0.10078177150082887,M3_LGBM_dmwd,isotonic
edge_bucket,>0.20,848,-0.02698113207547171,-0.023472944295307444,5.148985849056604,0.6243249343911744,0.14959578701309387,M3_LGBM_dmwd,isotonic
edge_bucket,0.05-0.10,74,-0.10175675675675674,-0.031505287559404536,3.2094594594594597,0.076934135002745,0.07005713066663072,M3_LGBM_dmwd,isotonic
edge_bucket,0.10-0.20,233,0.08532188841201718,-0.02992726970480789,3.1942489270386267,0.1510744019993454,0.036651602271009054,M3_LGBM_dmwd,isotonic
edge_bucket,<=0.05,15,-0.09599999999999996,-0.036803185772556195,2.972000000000001,0.04540798396441891,0.06890435786905375,M3_LGBM_dmwd,isotonic
class,all,1153,0.06799653078924545,-0.019862672784452702,5.074232437120555,0.4545140938168184,0.07060467775205792,M4_LGBM,uncalibrated
class,home,453,0.22055187637969095,-0.018246793002894807,4.13280353200883,0.46502409225147506,0.06703533057726246,M4_LGBM,uncalibrated
class,draw,281,0.18967971530249111,-0.012474871618729401,4.10103202846975,0.3034275109390235,0.016642272052861562,M4_LGBM,uncalibrated
class,away,419,-0.17854415274463004,-0.026564261492361945,6.74472553699284,0.5444766248377276,0.1106532464194959,M4_LGBM,uncalibrated
odds_bucket,6.0+,266,-0.03349624060150376,-0.005216089224042091,10.411654135338345,1.003130105938161,0.10763466226729329,M4_LGBM,uncalibrated
odds_bucket,3.5-6.0,479,0.1513152400835073,-0.01598623754836919,4.241398747390397,0.33975282696782394,0.04296927531883754,M4_LGBM,uncalibrated
odds_bucket,2.0-3.5,326,0.047423312883435605,-0.032348556547665705,2.7730674846625765,0.2605450772149043,0.08086976556469572,M4_LGBM,uncalibrated
odds_bucket,1.0-2.0,82,-0.007682926829268319,-0.04037981422769398,1.7736585365853659,0.11637613050724815,0.0711042296732779,M4_LGBM,uncalibrated
edge_bucket,>0.20,767,0.089374185136897,-0.018539033025180042,5.9644719687092564,0.623020712431475,0.08760230398698954,M4_LGBM,uncalibrated
edge_bucket,0.05-0.10,112,0.10928571428571429,-0.028531896092816058,3.231875,0.07599162825480259,0.0006568856613896057,M4_LGBM,uncalibrated
