model,policy,threshold,signal_count,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,model_vs_close,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M4_LGBM,all,0.04,1588,-0.05255037783375316,-0.14977251259445842,0.0564992128463476,5.479288413098237,0.5342567993240169,-0.015601425344548026,-0.0005583384617588227,0.5694686742656702,103.65999999999993,0.3129473575901647,0.21473551637279598,0.0982118412173687,0.36712846347607053,0.34005037783375314,0.29282115869017633
M4_LGBM,all,0.05,1521,-0.052886259040105195,-0.15473734385272844,0.05290466798159106,5.563990795529257,0.5557965093982047,-0.015470361647856241,-0.0006202021051128048,0.5915201220070898,100.60999999999994,0.3128141419345528,0.21170282708744248,0.10111131484711033,0.3708086785009862,0.3339907955292571,0.29520052596975677
M4_LGBM,all,0.06,1463,-0.05606971975393027,-0.1556192754613807,0.060702836637047126,5.6463431305536576,0.5756566777343051,-0.014882323187631497,-0.00029659188372118967,0.6113379095373299,97.70999999999994,0.31186891621484286,0.20642515379357484,0.10544376242126802,0.3718386876281613,0.32946001367054,0.2987012987012987
M4_LGBM,all,0.07,1416,-0.05983050847457627,-0.17030685028248588,0.05204378531073445,5.712796610169491,0.5926036019697569,-0.014810272298161425,-0.0004958703665138155,0.6287184113138705,94.20999999999998,0.3118290034086783,0.2019774011299435,0.1098516022787348,0.3728813559322034,0.3241525423728814,0.3029661016949153
M4_LGBM,all,0.08,1370,-0.059481751824817526,-0.17512299270072992,0.05862281021897805,5.781182481751825,0.6099655105339685,-0.015472853370741477,-0.0015945208242625093,0.6473979924675844,88.94999999999999,0.31160440933221195,0.2,0.11160440933221194,0.37445255474452555,0.3197080291970803,0.30583941605839415
M4_LGBM,all,0.1,1295,-0.027992277992278,-0.14257702702702701,0.09393436293436291,5.894293436293437,0.6400512108840092,-0.015535684990343645,-0.0020714889079037264,0.678439666856522,67.45,0.31166197009052715,0.20463320463320464,0.10702876545732251,0.3799227799227799,0.31583011583011583,0.30424710424710427
M4_LGBM,one_per,0.02,1154,-0.04283362218370884,-0.16122703639514732,0.07552837954939338,5.308734835355287,0.580222506867591,-0.014244249939942376,-0.0003598104993780668,0.6153460143745278,104.73000000000002,0.3428716285139316,0.23483535528596186,0.10803627322796974,0.5199306759098787,0.09792027729636049,0.3821490467937608
M4_LGBM,one_per,0.03,1131,-0.04017683465959328,-0.17447236958443854,0.08756852343059238,5.356392572944297,0.5915246758434813,-0.014230167570619803,-0.0005736973287480732,0.6270143834281453,103.44000000000001,0.3422487160322503,0.23253757736516356,0.10971113866708676,0.5216622458001768,0.09372236958443855,0.38461538461538464
M4_LGBM,one_per,0.04,1098,-0.03927140255009109,-0.1700710382513661,0.08011202185792349,5.429817850637523,0.6082500525295185,-0.014190471247186124,-0.0008872005623096499,0.6441346960213951,97.06000000000002,0.34095434957276044,0.22950819672131148,0.11144615285144896,0.5200364298724954,0.09016393442622951,0.38979963570127507
M4_LGBM,one_per,0.05,1063,-0.028871119473189093,-0.15739910630291626,0.10610371589840074,5.503311382878646,0.6268040994756489,-0.013806016193247419,-0.0006548929944730183,0.662774167434786,91.64000000000001,0.3405370666697547,0.2295390404515522,0.11099802621820248,0.5211665098777046,0.08560677328316087,0.3932267168391345
M4_LGBM,one_per,0.06,1029,-0.03448979591836735,-0.15707410106899902,0.09829057337220602,5.586851311953352,0.6457089388230215,-0.013060945394770812,-0.00022356610045855282,0.6814170524605475,93.44,0.3387618124837514,0.22254616132167152,0.11621565116207991,0.5199222546161322,0.0826044703595724,0.3974732750242954
