season,date,home_team,away_team,y,is_promoted_match,promoted_match_idx,p0_p_away,p0_p_draw,p0_p_home,p1_p_away,p1_p_draw,p1_p_home,p2_p_away,p2_p_draw,p2_p_home,p4_p_away,p4_p_draw,p4_p_home,suppressed_p3
2324,2023-11-04,Mainz,RB Leipzig,2,False,0,0.4779126492262053,0.27491571235019463,0.24717163842360015,0.4779126492262053,0.27491571235019463,0.24717163842360015,0.4779126492262053,0.27491571235019463,0.24717163842360015,0.4779126492262053,0.27491571235019463,0.24717163842360015,False
2324,2023-11-04,Hoffenheim,Leverkusen,0,False,0,0.3894495069328545,0.2603418156572496,0.3502086774098959,0.3894495069328545,0.2603418156572496,0.3502086774098959,0.3894495069328545,0.2603418156572496,0.3502086774098959,0.3894495069328545,0.2603418156572496,0.3502086774098959,False
2324,2023-11-04,Freiburg,M'gladbach,1,False,0,0.27011949044906286,0.26593139658184706,0.46394911296909,0.27011949044906286,0.26593139658184706,0.46394911296909,0.27011949044906286,0.26593139658184706,0.46394911296909,0.27011949044906286,0.26593139658184706,0.46394911296909,False
2324,2023-11-04,FC Koln,Augsburg,1,False,0,0.22438275243256298,0.27037113757893927,0.5052461099884977,0.22438275243256298,0.27037113757893927,0.5052461099884977,0.22438275243256298,0.27037113757893927,0.5052461099884977,0.22438275243256298,0.27037113757893927,0.5052461099884977,False
2324,2023-11-04,Dortmund,Bayern Munich,0,False,0,0.4094434142175883,0.22630500902269085,0.36425157675972086,0.4094434142175883,0.22630500902269085,0.36425157675972086,0.4094434142175883,0.22630500902269085,0.36425157675972086,0.4094434142175883,0.22630500902269085,0.36425157675972086,False
2324,2023-11-05,Heidenheim,Stuttgart,2,True,10,0.3,0.26,0.44,0.3,0.26,0.44,0.30859261036739544,0.25941358803872305,0.43199380159388157,0.32993972700055124,0.28512356925811355,0.38493670374133526,False
2324,2023-11-05,Wolfsburg,Werder Bremen,1,False,0,0.18651860159927186,0.2439804963494343,0.5695009020512939,0.18651860159927186,0.2439804963494343,0.5695009020512939,0.18651860159927186,0.2439804963494343,0.5695009020512939,0.18651860159927186,0.2439804963494343,0.5695009020512939,False
2324,2023-11-10,M'gladbach,Wolfsburg,2,False,0,0.30119640552886,0.2686683766518434,0.43013521781929664,0.30119640552886,0.2686683766518434,0.43013521781929664,0.30119640552886,0.2686683766518434,0.43013521781929664,0.30119640552886,0.2686683766518434,0.43013521781929664,False
2324,2023-11-11,Stuttgart,Dortmund,2,False,0,0.5636960139383514,0.22650677819853857,0.20979720786311,0.5636960139383514,0.22650677819853857,0.20979720786311,0.5636960139383514,0.22650677819853857,0.20979720786311,0.5636960139383514,0.22650677819853857,0.20979720786311,False
2324,2023-11-11,Bochum,FC Koln,1,False,0,0.35804343363466856,0.2867549043066555,0.35520166205867604,0.35804343363466856,0.2867549043066555,0.35520166205867604,0.35804343363466856,0.2867549043066555,0.35520166205867604,0.35804343363466856,0.2867549043066555,0.35520166205867604,False
2324,2023-11-11,Darmstadt,Mainz,1,True,11,0.47152518225784157,0.3018397919297635,0.22663502581239492,0.47152518225784157,0.3018397919297635,0.22663502581239492,0.47152518225784157,0.3018397919297635,0.22663502581239492,0.3739599427360747,0.28400465600471536,0.34203540125920995,False
2324,2023-11-11,Augsburg,Hoffenheim,1,False,0,0.3726318148990727,0.27739011022320564,0.34997807487772176,0.3726318148990727,0.27739011022320564,0.34997807487772176,0.3726318148990727,0.27739011022320564,0.34997807487772176,0.3726318148990727,0.27739011022320564,0.34997807487772176,False
2324,2023-11-11,Bayern Munich,Heidenheim,2,True,11,0.3,0.26,0.44,0.3,0.26,0.44,0.3,0.26,0.44,0.0353087493495652,0.08811911046846282,0.876572140181972,False
2324,2023-11-12,Leverkusen,Union Berlin,2,False,0,0.23378935164490355,0.27665827721464187,0.4895523711404546,0.23378935164490355,0.27665827721464187,0.4895523711404546,0.23378935164490355,0.27665827721464187,0.4895523711404546,0.23378935164490355,0.27665827721464187,0.4895523711404546,False
2324,2023-11-12,RB Leipzig,Freiburg,2,False,0,0.15448826150168563,0.23889176260136108,0.6066199758969533,0.15448826150168563,0.23889176260136108,0.6066199758969533,0.15448826150168563,0.23889176260136108,0.6066199758969533,0.15448826150168563,0.23889176260136108,0.6066199758969533,False
2324,2023-11-12,Werder Bremen,Ein Frankfurt,1,False,0,0.37716412534975796,0.26969574816386394,0.3531401264863782,0.37716412534975796,0.26969574816386394,0.3531401264863782,0.37716412534975796,0.26969574816386394,0.3531401264863782,0.37716412534975796,0.26969574816386394,0.3531401264863782,False
2324,2023-11-24,FC Koln,Bayern Munich,0,False,0,0.6504401003155421,0.20057452827453837,0.1489853714099195,0.6504401003155421,0.20057452827453837,0.1489853714099195,0.6504401003155421,0.20057452827453837,0.1489853714099195,0.6504401003155421,0.20057452827453837,0.1489853714099195,False
2324,2023-11-25,Union Berlin,Augsburg,1,False,0,0.15850788389428047,0.26157005164269964,0.57992206446302,0.15850788389428047,0.26157005164269964,0.57992206446302,0.15850788389428047,0.26157005164269964,0.57992206446302,0.15850788389428047,0.26157005164269964,0.57992206446302,False
2324,2023-11-25,Dortmund,M'gladbach,2,False,0,0.13830300332428558,0.17677234731303276,0.6849246493626817,0.13830300332428558,0.17677234731303276,0.6849246493626817,0.13830300332428558,0.17677234731303276,0.6849246493626817,0.13830300332428558,0.17677234731303276,0.6849246493626817,False
2324,2023-11-25,Ein Frankfurt,Stuttgart,0,False,0,0.19918106746670233,0.24769315445327492,0.5531257780800227,0.19918106746670233,0.24769315445327492,0.5531257780800227,0.19918106746670233,0.24769315445327492,0.5531257780800227,0.19918106746670233,0.24769315445327492,0.5531257780800227,False
2324,2023-11-25,Freiburg,Darmstadt,1,True,12,0.09847747282245933,0.2236039382323859,0.6779185889451548,0.09847747282245933,0.2236039382323859,0.6779185889451548,0.09847747282245933,0.2236039382323859,0.6779185889451548,0.16000471723367032,0.2380417769063283,0.6019535058600014,False
2324,2023-11-25,Werder Bremen,Leverkusen,0,False,0,0.45825690572727884,0.2607611223785633,0.28098197189415786,0.45825690572727884,0.2607611223785633,0.28098197189415786,0.45825690572727884,0.2607611223785633,0.28098197189415786,0.45825690572727884,0.2607611223785633,0.28098197189415786,False
2324,2023-11-25,Wolfsburg,RB Leipzig,2,False,0,0.4126086582054822,0.28625019654412087,0.30114114525039687,0.4126086582054822,0.28625019654412087,0.30114114525039687,0.4126086582054822,0.28625019654412087,0.30114114525039687,0.4126086582054822,0.28625019654412087,0.30114114525039687,False
2324,2023-11-26,Heidenheim,Bochum,1,True,12,0.3,0.26,0.44,0.3,0.26,0.44,0.3,0.26,0.44,0.27151484112963653,0.2788684632981759,0.4496166955721876,False
2324,2023-11-26,Hoffenheim,Mainz,1,False,0,0.26214998758862623,0.2605751559737607,0.477274856437613,0.26214998758862623,0.2605751559737607,0.477274856437613,0.26214998758862623,0.2605751559737607,0.477274856437613,0.26214998758862623,0.2605751559737607,0.477274856437613,False
2324,2023-12-01,Darmstadt,FC Koln,0,True,13,0.454223205601986,0.3046771352592702,0.24109965913874387,0.454223205601986,0.3046771352592702,0.24109965913874387,0.454223205601986,0.3046771352592702,0.24109965913874387,0.35556861460744804,0.28291482581830013,0.3615165595742519,False
2324,2023-12-02,RB Leipzig,Heidenheim,2,True,13,0.3,0.26,0.44,0.3,0.26,0.44,0.3,0.26,0.44,0.07692545075231833,0.16693049733832474,0.7561440519093569,False
2324,2023-12-02,Stuttgart,Werder Bremen,2,False,0,0.2727233309281878,0.27238413994038546,0.45489252913142675,0.2727233309281878,0.27238413994038546,0.45489252913142675,0.2727233309281878,0.27238413994038546,0.45489252913142675,0.2727233309281878,0.27238413994038546,0.45489252913142675,False
2324,2023-12-02,Bochum,Wolfsburg,2,False,0,0.4387876347773407,0.2826995481779109,0.27851281704474856,0.4387876347773407,0.2826995481779109,0.27851281704474856,0.4387876347773407,0.2826995481779109,0.27851281704474856,0.4387876347773407,0.2826995481779109,0.27851281704474856,False
2324,2023-12-02,M'gladbach,Hoffenheim,2,False,0,0.2632443630392953,0.24622685407267578,0.490528782888029,0.2632443630392953,0.24622685407267578,0.490528782888029,0.2632443630392953,0.24622685407267578,0.490528782888029,0.2632443630392953,0.24622685407267578,0.490528782888029,False
2324,2023-12-03,Leverkusen,Dortmund,1,False,0,0.3782514862690499,0.24196320011451158,0.3797853136164385,0.3782514862690499,0.24196320011451158,0.3797853136164385,0.3782514862690499,0.24196320011451158,0.3797853136164385,0.3782514862690499,0.24196320011451158,0.3797853136164385,False
2324,2023-12-03,Mainz,Freiburg,0,False,0,0.31750342689437316,0.2874444106672942,0.39505216243833274,0.31750342689437316,0.2874444106672942,0.39505216243833274,0.31750342689437316,0.2874444106672942,0.39505216243833274,0.31750342689437316,0.2874444106672942,0.39505216243833274,False
2324,2023-12-03,Augsburg,Ein Frankfurt,2,False,0,0.4017630597123689,0.2808760601731378,0.31736088011449337,0.4017630597123689,0.2808760601731378,0.31736088011449337,0.4017630597123689,0.2808760601731378,0.31736088011449337,0.4017630597123689,0.2808760601731378,0.31736088011449337,False
2324,2023-12-08,Hoffenheim,Bochum,2,False,0,0.17536129474549575,0.23225388888514537,0.5923848163693589,0.17536129474549575,0.23225388888514537,0.5923848163693589,0.17536129474549575,0.23225388888514537,0.5923848163693589,0.17536129474549575,0.23225388888514537,0.5923848163693589,False
2324,2023-12-09,Dortmund,RB Leipzig,0,False,0,0.2790904634481999,0.24666153945872268,0.4742479970930775,0.2790904634481999,0.24666153945872268,0.4742479970930775,0.2790904634481999,0.24666153945872268,0.4742479970930775,0.2790904634481999,0.24666153945872268,0.4742479970930775,False
2324,2023-12-09,Ein Frankfurt,Bayern Munich,2,False,0,0.5821354898851832,0.2181681257692814,0.1996963843455354,0.5821354898851832,0.2181681257692814,0.1996963843455354,0.5821354898851832,0.2181681257692814,0.1996963843455354,0.5821354898851832,0.2181681257692814,0.1996963843455354,False
2324,2023-12-09,Heidenheim,Darmstadt,2,True,14,0.3,0.26,0.44,0.3,0.26,0.44,0.3,0.26,0.44,0.276322935312466,0.27571619463775004,0.447960870049784,False
2324,2023-12-09,Union Berlin,M'gladbach,2,False,0,0.24296721884171432,0.2759029743448678,0.4811298068134179,0.24296721884171432,0.2759029743448678,0.4811298068134179,0.24296721884171432,0.2759029743448678,0.4811298068134179,0.24296721884171432,0.2759029743448678,0.4811298068134179,False
2324,2023-12-09,Werder Bremen,Augsburg,2,False,0,0.24914463581378074,0.2718951274866625,0.4789602366995568,0.24914463581378074,0.2718951274866625,0.4789602366995568,0.24914463581378074,0.2718951274866625,0.4789602366995568,0.24914463581378074,0.2718951274866625,0.4789602366995568,False
2324,2023-12-09,Wolfsburg,Freiburg,0,False,0,0.26165295670005545,0.28026906585316397,0.45807797744678064,0.26165295670005545,0.28026906585316397,0.45807797744678064,0.26165295670005545,0.28026906585316397,0.45807797744678064,0.26165295670005545,0.28026906585316397,0.45807797744678064,False
2324,2023-12-10,Stuttgart,Leverkusen,1,False,0,0.4467553976438377,0.26986911785385953,0.2833754845023028,0.4467553976438377,0.26986911785385953,0.2833754845023028,0.4467553976438377,0.26986911785385953,0.2833754845023028,0.4467553976438377,0.26986911785385953,0.2833754845023028,False
2324,2023-12-10,FC Koln,Mainz,1,False,0,0.2932362638198069,0.27982369930712214,0.4269400368730711,0.2932362638198069,0.27982369930712214,0.4269400368730711,0.2932362638198069,0.27982369930712214,0.4269400368730711,0.2932362638198069,0.27982369930712214,0.4269400368730711,False
2324,2023-12-15,M'gladbach,Werder Bremen,1,False,0,0.20446545158287244,0.23598327561736618,0.5595512727997615,0.20446545158287244,0.23598327561736618,0.5595512727997615,0.20446545158287244,0.23598327561736618,0.5595512727997615,0.20446545158287244,0.23598327561736618,0.5595512727997615,False
2324,2023-12-16,Augsburg,Dortmund,1,False,0,0.5991458840009657,0.21922405237622972,0.18163006362280462,0.5991458840009657,0.21922405237622972,0.18163006362280462,0.5991458840009657,0.21922405237622972,0.18163006362280462,0.5991458840009657,0.21922405237622972,0.18163006362280462,False
2324,2023-12-16,Bochum,Union Berlin,2,False,0,0.4383750862579186,0.29885908479751744,0.2627658289445639,0.4383750862579186,0.29885908479751744,0.2627658289445639,0.4383750862579186,0.29885908479751744,0.2627658289445639,0.4383750862579186,0.29885908479751744,0.2627658289445639,False
2324,2023-12-16,Darmstadt,Wolfsburg,0,True,15,0.5308837320945602,0.2854277697658472,0.18368849813959262,0.5308837320945602,0.2854277697658472,0.18368849813959262,0.5308837320945602,0.2854277697658472,0.18368849813959262,0.4370783514459128,0.27947548836886293,0.2834461601852243,False
2324,2023-12-16,Mainz,Heidenheim,0,True,15,0.3,0.26,0.44,0.3,0.26,0.44,0.3,0.26,0.44,0.19234447737197652,0.25124898036722776,0.5564065422607958,False
2324,2023-12-16,RB Leipzig,Hoffenheim,2,False,0,0.13459565191608447,0.2079251094838889,0.6574792386000267,0.13459565191608447,0.2079251094838889,0.6574792386000267,0.13459565191608447,0.2079251094838889,0.6574792386000267,0.13459565191608447,0.2079251094838889,0.6574792386000267,False
2324,2023-12-17,Bayern Munich,Stuttgart,2,False,0,0.05240079878009793,0.11527423764528742,0.8323249635746146,0.05240079878009793,0.11527423764528742,0.8323249635746146,0.05240079878009793,0.11527423764528742,0.8323249635746146,0.05240079878009793,0.11527423764528742,0.8323249635746146,False
2324,2023-12-17,Freiburg,FC Koln,2,False,0,0.22013871839310906,0.2659068611460368,0.5139544204608543,0.22013871839310906,0.2659068611460368,0.5139544204608543,0.22013871839310906,0.2659068611460368,0.5139544204608543,0.22013871839310906,0.2659068611460368,0.5139544204608543,False
