season,date,home_team,away_team,y,dc_p_away,dc_p_draw,dc_p_home,elo_p_away,elo_p_draw,elo_p_home,ps_open_home,ps_open_draw,ps_open_away,ps_close_home,ps_close_draw,ps_close_away
2425,2024-11-08,Union Berlin,Freiburg,1,0.2926124165329591,0.3046314043511243,0.40275617911591666,0.31772146358070613,0.18202252300767216,0.5002560134116218,2.55,3.19,3.11,2.48,3.25,3.16
2425,2024-11-09,Bochum,Leverkusen,1,0.6522518284680464,0.20868853283731686,0.1390596386946368,0.8251406908928723,0.051731931065857086,0.12312737804127058,10.94,6.8,1.24,11.26,6.81,1.25
2425,2024-11-09,Mainz,Dortmund,2,0.5001636304230292,0.25477214131632864,0.24506422826064206,0.47978971337365156,0.19341928235142292,0.3267910042749255,3.48,3.74,2.08,3.75,3.8,2.01
2425,2024-11-09,RB Leipzig,M'gladbach,1,0.12504440474209702,0.18872222581522852,0.6862333694426744,0.12061443320903803,0.05062055416982663,0.8287650126211354,1.6,4.67,5.11,1.66,4.4,4.94
2425,2024-11-09,St Pauli,Bayern Munich,0,0.297,0.253,0.45,0.6930710480176602,0.09605440638001704,0.21087454560232283,12.45,7.14,1.22,16.12,7.69,1.19
2425,2024-11-09,Werder Bremen,Kiel,2,0.297,0.253,0.45,0.2359284361341535,0.1115919143551136,0.6524796495107329,1.64,4.29,5.15,1.61,4.35,5.53
2425,2024-11-10,Augsburg,Hoffenheim,1,0.3715116725613534,0.2593790160775432,0.3691093113611035,0.32289432168774895,0.1883661977580967,0.48873948055415434,2.11,3.85,3.33,2.18,3.41,3.63
2425,2024-11-10,Heidenheim,Wolfsburg,0,0.2809013418149701,0.2815059516619983,0.43759270652303156,0.2790098521514361,0.14354335037153962,0.5774467974770243,2.91,3.27,2.61,2.95,3.29,2.6
2425,2024-11-10,Stuttgart,Ein Frankfurt,0,0.25203326304413365,0.2591209071514035,0.4888458298044629,0.24673906527840425,0.1188917808484573,0.6343691538731384,1.93,4.05,3.72,1.78,3.95,4.54
2425,2024-11-22,Bayern Munich,Augsburg,2,0.057578413223537774,0.11729570842544036,0.8251258783510219,0.07224387762193137,0.05,0.8777561223780685,1.12,11.15,21.63,1.11,11.5,23.0
2425,2024-11-23,Dortmund,Freiburg,2,0.13799816864918552,0.19865587462775963,0.6633459567230549,0.19632584011182047,0.08776482927587405,0.7159093306123056,1.69,4.18,4.86,1.82,3.87,4.52
2425,2024-11-23,Ein Frankfurt,Werder Bremen,2,0.22052670512707778,0.2558263734006636,0.5236469214722588,0.21574170793288097,0.09893908713650418,0.6853192049306149,1.71,4.24,4.59,1.79,4.13,4.37
2425,2024-11-23,Hoffenheim,RB Leipzig,2,0.49748107708679434,0.24352668334600377,0.2589922395672019,0.6063019486960054,0.13070405995280143,0.2629939913511932,3.49,3.7,2.09,3.21,3.75,2.22
2425,2024-11-23,Leverkusen,Heidenheim,2,0.12322144215513459,0.201991490831488,0.6747870670133773,0.08608877400817293,0.05,0.863911225991827,1.19,8.07,13.4,1.21,7.42,13.66
2425,2024-11-23,Stuttgart,Bochum,2,0.12776594687074622,0.19892271795589106,0.6733113351733628,0.09250982358683796,0.05,0.8574901764131619,1.33,6.24,7.44,1.34,6.01,8.33
2425,2024-11-23,Wolfsburg,Union Berlin,2,0.25340121311613834,0.3016164244996597,0.44498236238420197,0.3171379923332563,0.1813306922543325,0.5015313154124111,2.37,3.28,3.27,2.18,3.31,3.74
2425,2024-11-24,Kiel,Mainz,0,0.297,0.253,0.45,0.3743476649755223,0.2627900402774115,0.36286229474706627,3.15,3.49,2.33,3.35,3.39,2.3
2425,2024-11-24,M'gladbach,St Pauli,2,0.297,0.253,0.45,0.2678057179463503,0.13442300193032897,0.5977712801233208,1.83,3.77,4.49,1.92,3.75,4.14
2425,2024-11-29,St Pauli,Kiel,2,0.297,0.253,0.45,0.2608719607549419,0.1290983979074301,0.610029641337628,1.71,3.83,5.22,1.67,3.84,5.61
2425,2024-11-30,Augsburg,Bochum,2,0.2269110472915386,0.25777911282495386,0.5153098398835075,0.22846307238834182,0.10677473832019764,0.6647621892914605,1.72,3.99,4.88,1.82,3.8,4.61
2425,2024-11-30,Dortmund,Bayern Munich,1,0.38938039320687234,0.22927385237679343,0.3813457544163342,0.3888702853939962,0.25198215646599537,0.35914755814000837,4.67,4.38,1.68,4.69,4.17,1.73
2425,2024-11-30,Freiburg,M'gladbach,2,0.28352331192322744,0.25886863330745274,0.4576080547693198,0.28840674234012625,0.1517629898097429,0.5598302678501308,2.01,3.78,3.69,2.08,3.71,3.59
